gene_name,gene_id
AC004797.1,ENSG00000229944
AC004812.1,ENSG00000263913
AC004817.1,ENSG00000267901
AC004824.1,ENSG00000266727
AC004824.2,ENSG00000269468
AC004832.1,ENSG00000203606
AC004837.3,ENSG00000106540
AC004837.4,ENSG00000231951
AC004837.5,ENSG00000228554
AC004840.8,ENSG00000230914
AC004840.9,ENSG00000175873
AC004851.1,ENSG00000252378
AC004854.4,ENSG00000234183
AC004854.5,ENSG00000230160
AC004862.6,ENSG00000232667
AC004866.1,ENSG00000223514
AC004866.3,ENSG00000224134
AC004869.2,ENSG00000230680
AC004869.3,ENSG00000240355
AC004870.3,ENSG00000229192
AC004870.4,ENSG00000223829
AC004870.5,ENSG00000214754
AC004875.1,ENSG00000221690
AC004878.2,ENSG00000224804
AC004878.3,ENSG00000198632
AC004878.5,ENSG00000205508
AC004878.6,ENSG00000205506
AC004878.7,ENSG00000249595
AC004878.8,ENSG00000254977
AC004889.1,ENSG00000256178
AC004893.10,ENSG00000238109
AC004893.11,ENSG00000242687
AC004895.1,ENSG00000264605
AC004895.4,ENSG00000231704
AC004899.1,ENSG00000267970
AC004899.3,ENSG00000225705
AC004901.1,ENSG00000232072
AC004906.3,ENSG00000237286
AC004911.2,ENSG00000226592
AC004917.1,ENSG00000177820
AC004920.2,ENSG00000228085
AC004920.3,ENSG00000236046
AC004924.1,ENSG00000221553
AC004938.5,ENSG00000225443
AC004941.3,ENSG00000228151
AC004941.5,ENSG00000231397
AC004943.1,ENSG00000265573
AC004945.1,ENSG00000222024
AC004947.2,ENSG00000233760
AC004951.5,ENSG00000239556
AC004951.6,ENSG00000228434
AC004967.7,ENSG00000243554
AC004969.1,ENSG00000223029
AC004980.1,ENSG00000221249
AC004980.10,ENSG00000214243
AC004980.11,ENSG00000185040
AC004980.7,ENSG00000205485
AC004980.8,ENSG00000250778
AC004980.9,ENSG00000230305
AC004985.12,ENSG00000241057
AC004987.10,ENSG00000231198
AC004987.9,ENSG00000233225
AC004988.1,ENSG00000203446
AC005000.1,ENSG00000255927
AC005000.2,ENSG00000264759
AC005003.1,ENSG00000213888
AC005007.3,ENSG00000230370
AC005008.2,ENSG00000237896
AC005008.3,ENSG00000226671
AC005009.1,ENSG00000231255
AC005009.2,ENSG00000233073
AC005013.1,ENSG00000255690
AC005013.5,ENSG00000228421
AC005014.5,ENSG00000224280
AC005017.2,ENSG00000174495
AC005019.2,ENSG00000213875
AC005019.3,ENSG00000224330
AC005020.1,ENSG00000265324
AC005022.1,ENSG00000224017
AC005027.3,ENSG00000236310
AC005029.1,ENSG00000232458
AC005033.6,ENSG00000233872
AC005034.2,ENSG00000230477
AC005034.3,ENSG00000226247
AC005037.1,ENSG00000224346
AC005037.2,ENSG00000221530
AC005037.3,ENSG00000183308
AC005037.4,ENSG00000226658
AC005037.6,ENSG00000235318
AC005040.3,ENSG00000226905
AC005041.11,ENSG00000234521
AC005041.17,ENSG00000258821
AC005042.2,ENSG00000227331
AC005042.3,ENSG00000231675
AC005042.4,ENSG00000204380
AC005042.5,ENSG00000228586
AC005048.1,ENSG00000216085
AC005062.2,ENSG00000243004
AC005071.1,ENSG00000222482
AC005076.5,ENSG00000224046
AC005077.12,ENSG00000227038
AC005077.14,ENSG00000230882
AC005077.5,ENSG00000228829
AC005077.7,ENSG00000224273
AC005077.8,ENSG00000213549
AC005077.9,ENSG00000241778
AC005082.1,ENSG00000214871
AC005082.12,ENSG00000226816
AC005083.1,ENSG00000233834
AC005086.1,ENSG00000230110
AC005086.2,ENSG00000256295
AC005086.3,ENSG00000258040
AC005086.4,ENSG00000258093
AC005088.1,ENSG00000264642
AC005094.2,ENSG00000229949
AC005102.1,ENSG00000219039
AC005104.3,ENSG00000223374
AC005105.2,ENSG00000225286
AC005150.1,ENSG00000248431
AC005152.3,ENSG00000228639
AC005154.6,ENSG00000196295
AC005154.7,ENSG00000244480
AC005154.8,ENSG00000226874
AC005159.1,ENSG00000221262
AC005160.3,ENSG00000227658
AC005161.1,ENSG00000221279
AC005162.4,ENSG00000229452
AC005162.5,ENSG00000233517
AC005176.1,ENSG00000269519
AC005176.2,ENSG00000268153
AC005176.3,ENSG00000268243
AC005178.1,ENSG00000251243
AC005189.6,ENSG00000229497
AC005195.1,ENSG00000263545
AC005197.2,ENSG00000269694
AC005215.1,ENSG00000252831
AC005220.3,ENSG00000236352
AC005224.2,ENSG00000231595
AC005229.1,ENSG00000264918
AC005229.5,ENSG00000213210
AC005229.7,ENSG00000213209
AC005235.1,ENSG00000236653
AC005237.2,ENSG00000235861
AC005237.4,ENSG00000225521
AC005253.2,ENSG00000268030
AC005253.4,ENSG00000268983
AC005255.3,ENSG00000256210
AC005255.5,ENSG00000269552
AC005255.6,ENSG00000172148
AC005256.1,ENSG00000267073
AC005262.2,ENSG00000267688
AC005262.3,ENSG00000267139
AC005262.4,ENSG00000266944
AC005264.2,ENSG00000267551
AC005276.1,ENSG00000197462
AC005280.1,ENSG00000170468
AC005281.1,ENSG00000226690
AC005281.2,ENSG00000225606
AC005284.1,ENSG00000221701
AC005288.1,ENSG00000265904
AC005300.5,ENSG00000236325
AC005301.8,ENSG00000235343
AC005304.1,ENSG00000233852
AC005306.3,ENSG00000267283
AC005307.1,ENSG00000260725
AC005307.3,ENSG00000267243
AC005324.6,ENSG00000233002
AC005324.7,ENSG00000233193
AC005326.2,ENSG00000231812
AC005329.7,ENSG00000248015
AC005330.2,ENSG00000267372
AC005336.4,ENSG00000267056
AC005336.5,ENSG00000267218
AC005339.2,ENSG00000268565
AC005351.1,ENSG00000248493
AC005355.1,ENSG00000250994
AC005355.2,ENSG00000251169
AC005356.1,ENSG00000262686
AC005357.1,ENSG00000266906
AC005358.1,ENSG00000273452
AC005358.3,ENSG00000227274
AC005363.9,ENSG00000255513
AC005370.1,ENSG00000252968
AC005375.1,ENSG00000266115
AC005387.2,ENSG00000269191
AC005387.3,ENSG00000268938
AC005391.2,ENSG00000267159
AC005392.13,ENSG00000227606
AC005394.1,ENSG00000267537
AC005399.1,ENSG00000269774
AC005477.1,ENSG00000257040
AC005481.5,ENSG00000222012
AC005484.5,ENSG00000259114
AC005487.2,ENSG00000225647
AC005488.1,ENSG00000267985
AC005488.11,ENSG00000205584
AC005493.1,ENSG00000214841
AC005498.3,ENSG00000267421
AC005498.4,ENSG00000267224
AC005513.1,ENSG00000252177
AC005517.3,ENSG00000223878
AC005518.2,ENSG00000230190
AC005519.4,ENSG00000258559
AC005522.6,ENSG00000213548
AC005522.7,ENSG00000225703
AC005523.2,ENSG00000269604
AC005523.3,ENSG00000268536
AC005532.5,ENSG00000230825
AC005534.6,ENSG00000234450
AC005534.8,ENSG00000224903
AC005537.2,ENSG00000232006
AC005538.5,ENSG00000237581
AC005539.2,ENSG00000228937
AC005540.3,ENSG00000235852
AC005544.1,ENSG00000214167
AC005546.2,ENSG00000266897
AC005549.1,ENSG00000263383
AC005549.2,ENSG00000265501
AC005549.3,ENSG00000268024
AC005550.3,ENSG00000237070
AC005550.4,ENSG00000229108
AC005550.5,ENSG00000225974
AC005559.2,ENSG00000266939
AC005559.3,ENSG00000267036
AC005562.1,ENSG00000214719
