gene_name,gene_id
Mup-ps14,ENSMUSG00000082065
Igkv17-121,ENSMUSG00000076514
Krtap14,ENSMUSG00000074928
Igkv9-120,ENSMUSG00000094872
Krtap15,ENSMUSG00000022931
Gm37777,ENSMUSG00000102698
Fam83a,ENSMUSG00000051225
4930590L20Rik,ENSMUSG00000102368
Armc7,ENSMUSG00000057219
Phpt1,ENSMUSG00000036504
Pctp,ENSMUSG00000020553
Cenpf,ENSMUSG00000026605
Gm11528,ENSMUSG00000084856
Gm16586,ENSMUSG00000089788
Grifin,ENSMUSG00000036586
Stk32c,ENSMUSG00000015981
Wdr81,ENSMUSG00000045374
Zmynd19,ENSMUSG00000026974
RP23-281H4.10,ENSMUSG00000107539
Gm13250,ENSMUSG00000083001
Tia1,ENSMUSG00000071337
Mllt6,ENSMUSG00000038437
RP23-462C22.5,ENSMUSG00000105699
Mcoln2,ENSMUSG00000011008
Gm37239,ENSMUSG00000103374
Lrrc27,ENSMUSG00000015980
Myrip,ENSMUSG00000041794
Trank1,ENSMUSG00000062296
Mup18,ENSMUSG00000078674
Rbm6,ENSMUSG00000032582
Zwilch,ENSMUSG00000032400
Edem3,ENSMUSG00000043019
BC048671,ENSMUSG00000049694
Gm16534,ENSMUSG00000090157
Gm13608,ENSMUSG00000081480
Gm13609,ENSMUSG00000086192
Nup214,ENSMUSG00000001855
Gm15565,ENSMUSG00000082356
Igsf11,ENSMUSG00000022790
Gm28688,ENSMUSG00000100383
Gm15566,ENSMUSG00000083772
Gm8520,ENSMUSG00000100922
Brwd1,ENSMUSG00000022914
Chst13,ENSMUSG00000056643
Lfng,ENSMUSG00000029570
Gm12840,ENSMUSG00000086320
Slc48a1,ENSMUSG00000081534
Gm37634,ENSMUSG00000102864
Dars2,ENSMUSG00000026709
Gm4968,ENSMUSG00000062365
Hdac7,ENSMUSG00000022475
Gm17494,ENSMUSG00000057359
Rcn2,ENSMUSG00000032320
Bcar3,ENSMUSG00000028121
Paqr7,ENSMUSG00000037348
Gm16314,ENSMUSG00000086965
Gm16291,ENSMUSG00000087695
Gnb1l,ENSMUSG00000000884
Stag3,ENSMUSG00000036928
RP23-60D3.4,ENSMUSG00000105695
Unc45a,ENSMUSG00000030533
RP23-60D3.3,ENSMUSG00000105233
Rhoc,ENSMUSG00000002233
Gm9991,ENSMUSG00000056128
Epgn,ENSMUSG00000035020
Pafah1b1,ENSMUSG00000020745
Afap1l2,ENSMUSG00000025083
Ucp3,ENSMUSG00000032942
Arhgap19,ENSMUSG00000025154
Pygo1,ENSMUSG00000034910
Krtap16-3,ENSMUSG00000096534
RP23-387P23.7,ENSMUSG00000107013
Gm37436,ENSMUSG00000102670
Gm7308,ENSMUSG00000081113
2310014F06Rik,ENSMUSG00000085945
RP23-387P23.3,ENSMUSG00000107153
RP23-71G16.7,ENSMUSG00000105057
Gm6061,ENSMUSG00000093392
Dnttip2,ENSMUSG00000039756
Gm10603,ENSMUSG00000099137
Vmn1r239-ps,ENSMUSG00000067262
4931429I11Rik,ENSMUSG00000032023
Gm15714,ENSMUSG00000081426
Arap1,ENSMUSG00000032812
Tead1,ENSMUSG00000055320
Tra2b,ENSMUSG00000022858
Pgr,ENSMUSG00000031870
RP23-71G16.6,ENSMUSG00000104554
RP23-192O12.4,ENSMUSG00000104574
Larp7,ENSMUSG00000027968
Gclm,ENSMUSG00000028124
Hyal5,ENSMUSG00000029678
Gm816,ENSMUSG00000100534
Gm38265,ENSMUSG00000102904
RP23-387P23.4,ENSMUSG00000107045
RP23-387P23.9,ENSMUSG00000106843
Cdh10,ENSMUSG00000022321
Zic2,ENSMUSG00000061524
Tomm5,ENSMUSG00000078713
Osbpl5,ENSMUSG00000037606
Gm12340,ENSMUSG00000080701
Fam57a,ENSMUSG00000069808
RP23-387P23.8,ENSMUSG00000107243
Gm10115,ENSMUSG00000062319
Gm12845,ENSMUSG00000108127
Slco6d1,ENSMUSG00000026336
1700034O15Rik,ENSMUSG00000029867
Nt5c3b,ENSMUSG00000017176
Ap4b1,ENSMUSG00000105053
Bcl2l15,ENSMUSG00000044165
1700123O21Rik,ENSMUSG00000101481
Gm10855,ENSMUSG00000075538
Gm13389,ENSMUSG00000087079
Glis1,ENSMUSG00000034762
RP23-227D7.3,ENSMUSG00000105625
Inhbb,ENSMUSG00000037035
Gm14935,ENSMUSG00000081182
Gm37340,ENSMUSG00000103412
RP23-223J11.1,ENSMUSG00000106883
Plxnd1,ENSMUSG00000030123
Lctl,ENSMUSG00000032401
Hdhd2,ENSMUSG00000025421
Gm11694,ENSMUSG00000081376
Uroc1,ENSMUSG00000034456
RP23-267O21.5,ENSMUSG00000106227
RP23-382G13.1,ENSMUSG00000108060
RP23-67B9.4,ENSMUSG00000106502
Gm37355,ENSMUSG00000103595
Gm11864,ENSMUSG00000080065
Ugt2b5,ENSMUSG00000054630
Iscu,ENSMUSG00000025825
Gm11861,ENSMUSG00000086072
Gemin4,ENSMUSG00000049396
Aunip,ENSMUSG00000078521
Fam78a,ENSMUSG00000050592
RP24-79H20.2,ENSMUSG00000108098
Ttyh3,ENSMUSG00000036565
RP23-120I17.1,ENSMUSG00000108299
RP23-120I17.2,ENSMUSG00000108087
1110025L11Rik,ENSMUSG00000068073
Rpl31-ps18,ENSMUSG00000097719
Gm13338,ENSMUSG00000083453
RP23-120I17.3,ENSMUSG00000107652
Gm16020,ENSMUSG00000072576
RP23-361O11.4,ENSMUSG00000105592
Fkbp10,ENSMUSG00000001555
Gm12844,ENSMUSG00000084260
Cisd3,ENSMUSG00000078695
Gm20648,ENSMUSG00000093779
Senp6,ENSMUSG00000034252
Gm8203,ENSMUSG00000101878
RP24-358D8.1,ENSMUSG00000107908
Gm20404,ENSMUSG00000092625
Gm18407,ENSMUSG00000104517
RP24-494L9.2,ENSMUSG00000108246
Lrpprc,ENSMUSG00000024120
Tmcc1,ENSMUSG00000030126
Hn1,ENSMUSG00000020737
Ccser1,ENSMUSG00000039578
Dcun1d4,ENSMUSG00000051674
Tial1,ENSMUSG00000030846
Dctn5,ENSMUSG00000030868
Gm12566,ENSMUSG00000082628
Vwc2l,ENSMUSG00000045648
2210420H20Rik,ENSMUSG00000101773
Gm16308,ENSMUSG00000090237
Arid1a,ENSMUSG00000007880
Klf17,ENSMUSG00000048626
Glod4,ENSMUSG00000017286
St3gal6,ENSMUSG00000022747
Swt1,ENSMUSG00000052748
Gm15236,ENSMUSG00000082134
Pla2g12a,ENSMUSG00000027999
Rcsd1,ENSMUSG00000040723
Col22a1,ENSMUSG00000079022
Entpd3,ENSMUSG00000041608
Igll1,ENSMUSG00000075370
Igkv9-119,ENSMUSG00000104575
Tbx5,ENSMUSG00000018263
